DATE,LOC,lat,long,NAME,DEATHS,INJURIES
12/9/2011,"Edinburg, TX",26.301737,-98.163343,Harwell Middle School,0,2
1/10/2012,"Houston, TX",29.760427,-95.369803,North Forest High School,0,1
2/27/2012,"Chardon, OH",41.578664,-81.213326,Chardon High School,3,3
8/16/2012,"Memphis, TN",35.149534,-90.04898,Hamilton High School,0,2
8/27/2012,"Perry Hall, MD",39.412607,-76.463574,Perry Hall School,0,1
11/7/2012,"Normal, IL",40.514203,-88.990631,Normal Community High School,0,0
12/14/2012,"Newtown, CT",41.414112,-73.303566,Sandy Hook Elementary School,28,2
1/8/2013,"Fort Myers, FL",26.640628,-81.872308,Apostolic Revival Center Christian School,1,0
1/10/2013,"Taft, CA",35.142467,-119.456508,Taft Union High School,0,2
1/31/2013,"Phoenix, AZ",33.448377,-112.074037,Cesar Chavez High School,0,0
1/31/2013,"Atlanta, GA",33.748995,-84.387982,Price Middle School,0,2
2/13/2013,"San Leandro, CA",37.72493,-122.156077,Hillside Elementary School,,
2/27/2013,"Atlanta, GA",33.748995,-84.387982,Henry W. Grady High School,,
3/21/2013,"Southgate, MI",42.213928,-83.193815,Davidson Middle School,,
4/29/2013,"Cincinatti, OH",39.103118,-84.51202,La Salle High School,,
5/14/2013,"Birmingham, AL",33.520661,-86.80249,Ossie Ware Mitchell Middle School,0,0
8/15/2013,"Clarksville, TN",36.529771,-87.359453,Northwest High School,,
8/20/2013,"Decateur, GA",33.774828,-84.296312,Ronald E Mcnair Discovery Learning Academy,0,0
8/23/2013,"Sardis, MI",34.437026,-89.91564,North Panola High School,1,2
8/30/2013,"Winston-Salem, NC",36.09986,-80.244216,Carver High School,0,1
9/28/2013,"Gray, ME",43.885632,-70.331719,New Gloucester High School,,
10/4/2013,"Pine Hills, FL",28.557779,-81.453405,Agape Christian Academy,0,2
10/15/2013,"Austin, TX",30.267153,-97.743061,Lanier High School,,
10/21/2013,"Sparks, NV",39.534911,-119.752689,Sparks Middle School,2,2
11/1/2013,"Algona, IA",43.069966,-94.233019,Algona High/Middle School,,
11/3/2013,"Stone Mountain, GA",33.808161,-84.170196,Stephenson High School,0,2
11/13/2013,"Pittsburgh, PA",40.440625,-79.995886,Brashear High school,0,3
12/4/2013,"Winter Garden, FL",28.565279,-81.586185,West Orange High School,0,1
12/13/2013,"Centennial, CO",39.580745,-104.877173,Araphoe High School,2,0
12/19/2013,"Fresno, CA",36.746842,-119.772587,Edison High School,0,1
1/9/2014,"Jackson, TN",35.614517,-88.813947,Liberty Technology High School,0,1
1/13/2014,"New Haven, CT",41.308274,-72.927883,Hillhouse High School,0,1
1/14/2014,"Roswell, NM",33.394266,-104.523024,Berrendo Middle School,0,3
1/15/2014,"Lancaster, PA",40.037876,-76.305514,King Elementary School,,
1/17/2014,"Philadelphia, PA",39.952584,-75.165222,Delaware Valley Charter High School,0,2
1/27/2014,"Carbondale, IL",37.727273,-89.21675,Rebound High School,0,1
1/31/2014,"De Moines, IA",41.600545,-93.609106,North High School,0,1
2/7/2014,"Bend, OR",44.058173,-121.31531,Bend High School,,
2/10/2014,"Salisbury, NC",35.670973,-80.474226,Salisbury High School,0,1
2/11/2014,"Lyndhurst, OH",41.520052,-81.488731,Charles F. Brush High School,0,0
2/20/2014,"Raytown, MO",39.008617,-94.463564,Raytown Success Academy,,
3/7/2014,"Tallulah, LA",32.408477,-91.186777,Madison Parish High School,,
